date,open,high,low,close,volume,adj_close,returns,log_returns,volatility
2023-04-10,28323.76,29770.0,28170.0,29637.34,67754.0622,29637.34,0.046377317135860574,0.04533402443678367,0.01803341922825687
2023-04-11,29637.35,30550.0,29590.0,30200.42,67990.07621,30200.42,0.01899900598366777,0.018820778757940998,0.01837283032279606
2023-04-12,30200.43,30486.0,29637.4,29888.07,62049.48451,29888.07,-0.010342571394702404,-0.010396427448109471,0.019705820561642745
2023-04-13,29888.07,30595.0,29854.59,30373.84,51934.11731,30373.84,0.01625297317625396,0.01612230751029388,0.01889487124438399
2023-04-14,30373.84,31000.0,29966.0,30466.93,75984.19452,30466.93,0.003064808400913499,0.003060121449609667,0.018004035684738937
2023-04-15,30466.93,30595.6,30202.0,30295.09,25429.81247,30295.09,-0.005640213831849872,-0.005656179900882534,0.018894346960135682
2023-04-16,30295.1,30549.99,30120.0,30304.65,26431.99322,30304.65,0.0003155626868909245,0.00031551290745832457,0.019337258564404512
2023-04-17,30304.66,30316.06,29240.65,29430.27,56441.81127,29430.27,-0.028852997807267244,-0.029277429572032238,0.016331935801666756
2023-04-18,29430.27,30485.0,29096.78,30380.01,62004.89434,30380.01,0.03227085582293321,0.031761089816271876,0.019490162808198663
2023-04-19,30380.01,30413.53,28520.0,28797.1,86575.48656,28797.1,-0.05210366948529643,-0.053510138704066394,0.028054172205500372
2023-04-20,28797.1,29088.3,28010.0,28243.65,76879.09372,28243.65,-0.019218949130294316,-0.01940603406257386,0.02675840273771062
2023-04-21,28243.65,28374.02,27125.0,27262.84,77684.7679,27262.84,-0.03472674388756414,-0.03534405077145466,0.02748026338252095
2023-04-22,27262.84,27882.72,27140.35,27816.85,36023.69686,27816.85,0.020321067064179577,0.02011734939753183,0.03059576422280578
2023-04-23,27816.85,27816.85,27311.25,27590.6,34812.09581,27590.6,-0.0081335593354388,-0.008166817188415205,0.030206299602651736
2023-04-24,27590.59,28000.0,26942.82,27510.93,53111.56874,27510.93,-0.002887577653258644,-0.002891754748673293,0.02950996222551755
2023-04-25,27510.93,28399.99,27192.0,28300.79,52325.14637,28300.79,0.02871077059190652,0.028306339200071688,0.028695328716737967
2023-04-26,28300.8,30036.0,27235.0,28415.29,129228.40403,28415.29,0.004045823455811615,0.004037661120266265,0.021921212139214833
2023-04-27,28415.29,29890.0,28378.86,29472.77,95430.82431,29472.77,0.03721517535101704,0.0365394056503652,0.024615601379405348
2023-04-28,29472.77,29599.54,28891.0,29311.7,54298.16578,29311.7,-0.005465044513970008,-0.005480032501360423,0.018095802893197545
2023-04-29,29311.69,29448.88,29031.0,29230.45,20466.83058,29230.45,-0.002771930662499922,-0.0027757795765594477,0.01812125270024
2023-04-30,29230.45,29969.39,29079.59,29233.21,39752.5372,29233.21,9.442208382015593e-05,9.441762633578723e-05,0.01720097501062713
2023-05-01,29233.2,29337.34,27666.95,28068.26,64433.65958,28068.26,-0.039850225137779915,-0.040665991207925405,0.02510722046656536
2023-05-02,28068.26,28879.88,27872.0,28669.86,50824.5224,28669.86,0.02143346256590184,0.021206996165195773,0.02399810368203815
2023-05-03,28669.85,29266.66,28113.69,29026.16,64615.79213,29026.16,0.012427685381093623,0.012351095602062214,0.02431833393407332
